Close Date,Primary Campaign Source: Campaign Name,Donation Record Type,Organization Name: Organization ID,Contact: Contact ID,Donation ID,Amount Currency,Amount
9/26/2013,Banquet - Hong Kong 2013 Tickets,GW Auction Ticket,0019000000Dp36f,0039000000DXkRM,0069000000ClgJZ,HKD,0
10/21/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000Dp3VC,0039000000DXkpt,0069000000DSg4l,HKD,7365.05
10/17/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000MrarX,0039000000MLAl3,0069000000DSg4k,HKD,3000
10/17/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000001XfHbx,0039000001kHkdy,0069000000DSg4j,HKD,10683.45
10/29/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000Dp3Sm,0039000000DXkl0,0069000000DSg4i,HKD,20000
9/26/2013,Banquet - Hong Kong 2013 Tickets,GW Auction Ticket,0019000000Dp34k,0039000000DXkPR,0069000000ClgPH,HKD,0
10/21/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000Dp3f9,0039000000DXkzk,0069000000DSg4f,HKD,6000
10/15/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000001XfHa8,0039000001kHkaf,0069000000DSg4e,HKD,30000
10/21/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000Dp3lr,0039000000DXl6S,0069000000DSg4b,HKD,15500
10/3/2013,Banquet - Hong Kong 2013 Tickets,GW Auction Ticket,0019000000GRqAU,0039000000H5OTZ,0069000000DSAzS,HKD,0
10/11/2013,Banquet - Hong Kong 2013 Attendees,GW Auction Purchased Item,0019000000WOdXd,0039000000YcoKy,0069000000DSg4d,HKD,11300
