"Contact ID","Organization ID","Introduction to ICM"
"0039000002Ilcsf","0019000001xIYqV","Friends"
"0039000002HBjGW","0019000001xErYx","Friends"
"0039000002HBjJ9","0019000001xErbS","Friends"
"0039000002HBjFO","0019000001xErXu","Friends"
"0039000002IleZ9","0019000001xIa4C","Friends"
"0039000002IlffA","0019000001xIau7","Friends"
"0039000002IlfjC","0019000001xIax1","Friends"
"0039000002Ilfjq","0019000001xIaxa","Friends"
"0039000002HBj7U","0019000001xErS6","Friends"
"0039000002HBrET","0019000001xExn9","Event of school / company"
"0039000002HBtAc","0019000001xEzJx","Trip"
"0039000002HBj6q","0019000001xErRS","Friends"
"0039000000OEp5N","0019000000O4QmV","Other"
"0039000000QaLpe","0019000000QTWhe","Family"
"0039000000OCyV1","0019000000O2gAs","Other"
"0039000000zMJzS","0019000000wOFno","ICM Staff"
"0039000000OCzCI","0019000000O2gPa","Other"
"0039000000OEOJv","0019000000O3rNj","Other"
"0039000000OCzCC","0019000000O2gHV","Other"
"0039000000Ycgoq","0019000000WOR5o","Other"
"0039000000Ycgqm","0019000000WORFR","Other"
"0039000000YchIQ","0019000000WORZD","Other"
"0039000000YchU0","0019000000WORkD","Other"
"0039000000YchVC","0019000000WORkX","Other"
"0039000000ODpXs","0019000000O3KGU","Friends"
"0039000000OCz7q","0019000000O2gH6","Other"
"0039000000q1bKN","0019000000oJlCk","Other"
"0039000000PF0RR","0019000000OtnSp","ICM Event"
"0039000000TdrhD","0019000000SE8Dn","Other"
"0039000000zMFc5","0019000000wO9Eq","Other"
"0039000000RAFTE","0019000000RItL1","Other"
"0039000002A55qx","0019000001rG0pE","Unknown"
"0039000002A4z2N","0019000001rFv5P","Other"
"0039000000OEz2e","0019000000O4aSZ","Family"
"0039000000Q8ct7","0019000000PyvIw","ICM Event"
"0039000000TdpZN","0019000000SE6S4","Other"
"0039000000Tccbl","0019000000SDuQi","Family"
"0039000000OCvAT","0019000000O2cZH","Other"
"0039000000vXU6f","0019000000th1ov","Colleague / Professional Contact"
"0039000000OCyzS","0019000000O2g8h","Other"
"0039000001OWY86","0019000001EZG2e","ICM Staff"
