"Contact.ID","blank","others","emails","mails","calls","meetings","presentations","events","Total.Household.Gifts","Gave","bulk_email"
"0039000000DXkSt",1,0,0,0,0,0,0,0,11732.68,TRUE,FALSE
"0039000000DXkSu",1,0,0,0,0,0,0,0,107630,TRUE,FALSE
"0039000000DXkSv",1,0,0,0,0,0,0,0,107630,TRUE,FALSE
"0039000000DXkSW",0,0,1,0,0,0,0,0,87305.4,TRUE,FALSE
"0039000000DXkT1",1,0,0,0,0,0,0,0,478240,TRUE,FALSE
"0039000000DXkT2",1,0,0,0,0,0,0,0,478240,TRUE,FALSE
"0039000000DXkT3",1,0,0,0,0,0,0,0,1640,TRUE,FALSE
"0039000000DXkT5",1,0,0,0,0,0,0,0,1640,TRUE,FALSE
"0039000000DXkt8",0,0,1,0,0,0,0,0,159154.85,TRUE,FALSE
"0039000000DXkTd",1,0,0,0,0,0,0,0,87474,TRUE,FALSE
"0039000000DXktE",1,0,0,0,0,0,0,0,245163,TRUE,FALSE
"0039000000DXkTf",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXktQ",1,0,0,0,0,0,0,0,94338.75,TRUE,FALSE
"0039000000DXktR",1,0,0,0,0,0,0,0,94338.75,TRUE,FALSE
"0039000000DXkTS",0,0,6,0,0,0,0,0,227218,TRUE,FALSE
"0039000000DXkTT",0,0,7,0,0,1,0,0,227218,TRUE,FALSE
"0039000000DXku6",1,0,0,0,0,0,0,0,44176.25,TRUE,FALSE
"0039000000DXkue",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkUF",0,0,25,0,0,0,0,0,1624206.98,TRUE,TRUE
"0039000000DXkuG",0,0,1,0,0,0,0,0,143010,TRUE,FALSE
"0039000000DXkUG",0,0,25,0,0,0,0,0,1624206.98,TRUE,TRUE
"0039000000DXkuO",0,0,41,0,0,1,1,2,668238,TRUE,TRUE
"0039000000DXkUR",0,1,3,1,0,0,0,0,86504,TRUE,FALSE
"0039000000DXkuV",1,0,0,0,0,0,0,0,112840.8,TRUE,FALSE
"0039000000DXkuY",0,0,0,0,0,1,0,0,112840.8,TRUE,FALSE
"0039000000DXkUY",1,0,0,0,0,0,0,0,21853,TRUE,FALSE
"0039000000DXkV0",1,0,0,0,0,0,0,0,16586.75,TRUE,FALSE
"0039000000DXkV2",1,0,0,0,0,0,0,0,16586.75,TRUE,FALSE
"0039000000DXkVB",0,0,8,0,0,0,0,0,391812,TRUE,FALSE
"0039000000DXkVC",1,0,0,0,0,0,0,0,120000,TRUE,FALSE
"0039000000DXkVD",1,0,0,0,0,0,0,0,28805,TRUE,FALSE
"0039000000DXkVN",0,0,2,0,0,0,0,0,32376,TRUE,FALSE
"0039000000DXkVQ",0,0,3,0,0,0,0,0,103772.47,TRUE,FALSE
"0039000000DXkVR",0,0,4,0,0,0,0,0,137178,TRUE,FALSE
"0039000000DXkVt",1,0,0,0,0,0,0,0,33671.38,TRUE,FALSE
"0039000000DXkVw",0,0,4,0,0,0,0,0,64348.5,TRUE,FALSE
"0039000000DXkVy",0,0,5,0,0,0,0,0,42177.39,TRUE,FALSE
"0039000000DXkvz",1,0,0,0,0,0,0,0,262798.35,TRUE,FALSE
"0039000000DXkVz",1,0,0,0,0,0,0,0,42177.39,TRUE,FALSE
"0039000000DXkw4",0,0,1,0,0,4,0,0,633507.05,TRUE,FALSE
"0039000000DXkw5",0,0,17,0,0,2,0,0,633507.05,TRUE,TRUE
