Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a009000000RH6VC,1,0,0,0,0
a009000000RH6VD,1,0,0,0,0
a009000000RH6VF,1,0,0,0,0
a009000000RH6VG,1,0,0,0,0
a009000000RH6VM,2,0,0,0,0
a009000000RH6VT,1,0,0,0,0
a009000000RH6VW,1,0,0,0,0
a009000000RH6VZ,1,0,0,0,0
a009000000RH6Va,1,0,0,0,0
a009000000RH6Vh,1,0,0,0,0
a009000000RH6Vi,1,0,0,0,0
a009000000RH6Vk,1,0,0,0,0
a009000000RH6Vm,1,0,0,0,0
a009000000RH6Vo,1,0,0,0,0
a009000000RH6Vp,1,0,0,0,0
a009000000RH6Vs,1,0,0,0,0
a009000000RH6Vu,1,0,0,0,0
a009000000RH6Vw,1,0,0,0,0
a009000000RH6Vz,2,0,0,0,0
a009000000RH6W0,1,0,0,0,0
a009000000RH6W3,1,0,0,0,0
a009000000RH6W4,1,0,0,0,0
a009000000RH6W6,1,0,0,0,0
a009000000RH6W8,1,0,0,0,0
a009000000RH6W9,1,0,0,0,0
a009000000Rh2fz,1,0,0,0,0
a009000000TOfRL,1,0,0,0,0
a009000000TOfRQ,1,0,0,0,0
a009000000TOfRS,1,0,0,0,0
a009000000TOfRU,1,0,0,0,0
a009000000TOfRV,1,0,0,0,0
a009000000TOfRc,1,0,0,0,0
a009000000TOfRj,1,0,0,0,0
a009000000TOfRk,1,0,0,0,0
a009000000TOfRl,1,0,0,0,0
a009000000TOfRo,1,0,0,0,0
a009000000TOfRp,1,0,0,0,0
a009000000TOfRq,1,0,0,0,0
a009000000TOfRv,1,0,0,0,0
a009000000TOfRw,1,0,0,0,0
a009000000TOfS0,1,0,0,0,0
a009000000TOfS1,1,0,0,0,0
a009000000TOfS6,1,0,0,0,0
a009000000TOfSA,1,0,0,0,0
a009000000TOfSD,1,0,0,0,0
a009000000TOfSJ,1,0,0,0,0
a009000000TOfSP,1,0,0,0,0
a009000000TOfST,1,0,0,0,0
a009000000TOfSk,1,0,0,0,0
a009000000TOfSl,1,0,0,0,0
a009000000TOfSn,1,0,0,0,0
a009000000TOfSs,1,0,0,0,0
a009000000TOfSv,1,0,0,0,0
a009000000TOfSw,1,0,0,0,0
a009000000TOfSx,1,0,0,0,0
a009000000TOfT0,1,0,0,0,0
a009000000TOfT2,1,0,0,0,0
a009000000TOfT3,1,0,0,0,0
a009000000TOfT4,1,0,0,0,0
a009000000TOfTB,1,0,0,0,0
a009000000TOfTG,1,0,0,0,0
a009000000TOfTH,1,0,0,0,0
a009000000TOfTK,1,0,0,0,0
a009000000TOfTO,1,0,0,0,0
a009000000TOveV,1,0,0,0,0
a009000000TP1QI,1,0,0,0,0
a009000000TR4jW,1,0,0,0,0
a009000000TR4ja,1,0,0,0,0
a009000000TR4jc,1,0,0,0,0
a009000000TR4je,1,0,0,0,0
a009000000TR4jf,1,0,0,1,0
a009000000TR4jk,1,0,0,0,0
a009000000TR4jm,3,0,0,0,0
a009000000TR4jo,1,0,0,0,0
a009000000TR4jp,1,0,0,0,0
a009000000TR4ju,8,6,0,0,0
a009000000TR4k0,1,0,0,0,0
a009000000TR4k2,1,0,0,0,0
a009000000TR4kA,1,0,0,0,0
a009000000TR4kG,1,0,0,0,0
a009000000TR4kM,1,0,0,2,0
